station,lat,lon
松山機場,25.063,121.551996
中山國中,25.060849,121.544227
南京復興,25.052319,121.544011
忠孝復興,25.041629,121.543767
大安,25.032943,121.543551
科技大樓,25.026125,121.543437
六張犁,25.023777,121.553115
麟光,25.018535,121.558791
辛亥,25.005475,121.557107
萬芳醫院,24.999386,121.558152
萬芳社區,24.998585,121.568102
木柵,24.998241,121.573145
動物園,24.998197,121.579338
大直,25.079477,121.546895
劍南路,25.084853,121.555592
西湖,25.082133,121.567213
港墘,25.080028,121.575081
文德,25.078532,121.584761
內湖,25.083661,121.594408
大湖公園,25.083845,121.602141
葫洲,25.072701,121.607158
東湖,25.067147,121.611445
南港軟體園區,25.059905,121.615953
南港展覽館,25.055288,121.6175001
小碧潭,24.971907,121.530339
新店,24.957855,121.537584
新店區公所,24.967393,121.54131
七張,24.975169,121.542942
大坪林,24.982899,121.541352
景美,24.9921276,121.5406037
萬隆,25.001853,121.539051
公館,25.014908,121.534216
台電大樓,25.020725,121.528168
古亭,25.026357,121.522873
中正紀念堂,25.032729,121.51827
小南門,25.035547,121.510857
頂溪,25.013821,121.515485
永安市場,25.002876,121.511231
景安,24.993905,121.505113
南勢角,24.990045,121.509237
台大醫院,25.041256,121.51604
台北車站,25.046255,121.517532
中山,25.052685,121.520392
雙連,25.057805,121.520627
民權西路,25.062905,121.51932
圓山,25.071353,121.520118
劍潭,25.084873,121.525078
士林,25.093535,121.52623
芝山,25.10306,121.522514
明德,25.109721,121.518848
石牌,25.114523,121.515559
唭哩岸,25.120872,121.506252
奇岩,25.125491,121.501132
北投,25.131841,121.498633
新北投,25.136933,121.50253
復興崗,25.137474,121.485444
忠義,25.130969,121.47341
關渡,25.125633,121.467102
竹圍,25.13694,121.459479
紅樹林,25.154042,121.458872
淡水,25.167818,121.445561
頂埔,24.96012,121.4205
永寧,24.966726,121.436072
土城,24.973094,121.444362
海山,24.985339,121.448786
亞東醫院,24.998037,121.452514
府中,25.008619,121.459409
BL板橋,25.0137394,121.4625301
新埔,25.023738,121.468361
江子翠,25.03001,121.47239
龍山寺,25.03528,121.499826
西門,25.04209,121.508303
善導寺,25.044823,121.523208
忠孝新生,25.042356,121.532905
忠孝敦化,25.041478,121.551098
國父紀念館,25.041349,121.557802
市政府,25.041171,121.565228
永春,25.040859,121.576293
後山埤,25.045055,121.582522
昆陽,25.050461,121.593268
南港,25.052116,121.606686
象山,25.03283,121.569576
台北101/世貿,25.033102,121.563292
信義安和,25.033326,121.553526
大安森林公園,25.033396,121.534882
北門,25.049554,121.510184
松江南京,25.052015,121.533075
台北小巨蛋,25.051836,121.55153
南京三民,25.051652,121.564708
松山,25.050118,121.577706
輔大,25.032718,121.43547
新莊,25.036125,121.452468
頭前庄,25.039705,121.461746
先嗇宮,25.046493,121.471916
三重,25.055791,121.484725
菜寮,25.060274,121.492156
台北橋,25.063274,121.500762
大橋頭站,25.063256,121.51272
中山國小,25.062694,121.526419
行天宮,25.059718,121.533185
東門,25.033847,121.528739
蘆洲,25.091554,121.464471
三民高中,25.085456,121.473389
徐匯中學,25.080728,121.479673
三和國中,25.076859,121.486347
三重國小,25.070319,121.496904
迴龍,25.021862,121.41127
丹鳳,25.0288671,121.4227079
十四張,24.9829302,121.5340099
秀朗橋,24.9905493,121.5250505
景平,24.9919681,121.5165532
中和,25.0019806,121.4960519
橋和,25.0044131,121.4904608
中原,25.0084104,121.4841593
板新,25.0144914,121.4722124
Y板橋,25.01522694,121.464397
新埔民生,25.026125,121.466839
幸福,25.050282,121.460216
新北產業園區,25.0615483,121.4599257
G大坪林,24.982899,121.541352
O景安,24.993905,121.505113
O頭前庄,25.039735,121.461655
